Load_NO,Load_SE,Load_FI,Load_DK,Load_IE,Load_UK,Load_NL,Load_BE,Load_LU,Load_DE,Load_PL,Load_LV,Load_EE,Load_LT,Load_CZ,Load_AT,Load_SK,Load_HU,Load_FR,Load_CH,Load_IT,Load_SI,Load_HR,Load_RO,Load_BG,Load_GR,Load_ES,Load_PT
11745,12662,7841,3846,3439.5,24281.5,9694.25,8271.25,507,47837,16941,709,872,1298,5972,5903.25,2872,5357,40742,7814,36090,1375,2456,6343,4208,6303,25561,4891
11844,12536,7771,3652,3544,24942.5,10373,8274.75,510,48168,17112,705,854,1296,5965,6059.75,2868,5482.75,42041,7384,36924,1432,2481,6340.5,4165,6355,25953,5064
11838,12226,7575,3494,3471,24609.5,11029.25,8149.5,502.5,47812.25,17406,688,801,1286,5913,6063,2831,5486,41404,6172,36813,1443,2474,6494,4191,6614,26134,5264
11803,11977,7766,3334,3364.625,24009.5,11410.75,8138.75,488.5,46690,17676,661,744,1276,5930,6083,2855,5488.5,41146,5980,37328,1486,2543,6427.5,4180,6537,26682,5399
11671,11683,7649,3299,3271.5,22979.5,11605.75,8282.5,487.25,47222,17534,639,711,1217,5891,6123.25,2772,5173.25,42996,6031,35959,1439,2511,5957.25,3884,6283,27259,5568
11592,11191,7368,3136,3169.5,20257,11247.5,8046.25,464.25,44789.25,16238,577,672,1112,5523,5684.75,2603,4744.75,43042,6081,33415,1314,2276,5504.75,3517,5871,25970,5508
11310,10779,7076,2980,2992,18339.5,10821,7749.5,441,42076.5,15091,541,639,1053,5227,5405.5,2475,4343.75,39870,5763,30720,1249,2001,5270.5,3266,5461,24404,5160
11032,10752,6909,2840,2790,17524,10510.75,7442,425.75,40729.5,14644,523,622,1024,5186,5123,2358,4118.5,37519,5852,28889,1226,1833,5115.5,3211,5212,23074,4872
10931,10633,6713,2782,2666.5,17152.5,10222.25,7224.5,420.25,39843.5,14412,510,602,1010,5003,5065.5,2323,4005.25,36314,6576,27919,1166,1752,5063.25,3104,5014,22174,4651
10807,10597,6715,2752,2563,16771,10148.5,7217.25,423.5,39468.75,14304,500,593,1000,4894,4956.75,2319,3964.5,34680,7058,27329,1153,1707,5101,3112,4939,21716,4512
10729,10789,6886,2687,2509.5,16570,10161.75,7319.25,432.75,40506.75,14220,524,617,1042,4888,5125.5,2347,3997.75,34334,7099,27368,1182,1703,5140.25,3240,4981,21561,4402
